detail_key,cp,chapter_count,likes,publish_date,view_count,is_end
r527,FreenBecky,14,285,2023/4/29,56688,1
r528,FreenBecky,17,57,2022/12/2,14375,0
r529,EngLot,8,27,2022/12/1,7801,1
r530,NamneungNoey,21,120,2022/12/8,53444,0
r531,NamneungNoey,12,31,2022/12/1,15023,0
r532,EngLot,2,2,2022/12/2,578,0
r533,EngLot,3,38,2022/12/2,10247,1
r535,EngLot,10,18,2022/12/3,8907,1
r536,FreenBecky,2,32,2022/12/3,7867,0
r537,EngLot,11,12,2022/12/4,3193,0
r538,EngLot,11,539,2022/12/4,178215,1
r539,NamneungNoey,1,3,2022/12/5,415,0
r540,NamneungNoey,1,33,2023/3/17,2656,0
r541,EngLot,7,5,2025/9/27,1495,0
r542,EngLot,10,26,2022/12/8,10173,1
r543,EngLot,7,14,2022/12/9,5248,0
r544,FreenBecky,18,293,2022/12/17,79129,1
r545,EngLot,22,116,2022/12/9,31772,0
r546,EngLot,8,82,2022/12/13,15982,1
r547,EngLot,2,2,2022/12/10,542,0
r548,FreenBecky,13,316,2022/12/11,56521,0
r549,EngLot,10,44,2023/1/8,22915,1
r550,EngLot,6,15,2022/12/11,4308,0
r551,EngLot,6,18,2022/12/11,16401,1
r552,NamneungNoey,46,56,2022/12/12,23305,1
r553,EngLot,12,75,2022/12/14,22319,0
r554,NamneungNoey,10,8,2023/1/21,3316,0
r555,EngLot,22,597,2022/12/15,241871,1
r556,NamneungNoey,7,14,2022/12/20,1612,1
r557,EngLot,7,21,2022/12/15,9248,1
r558,FreenBecky,14,796,2022/12/31,160559,1
r559,FreenBecky,6,107,2022/12/15,14001,0
r560,NamneungNoey,1,8,2022/12/17,2060,0
r561,EngLot,3,10,2023/2/12,1276,0
r562,NamneungNoey,53,394,2023/8/6,241240,1
r563,EngLot,14,47,2022/12/19,31885,1
r564,NamneungNoey,20,88,2022/12/21,28369,1
r565,EngLot,9,8,2023/1/25,5715,0
r566,LingOrm,28,597,2025/1/16,169374,1
r567,FreenBecky,1,13,2022/12/21,1170,0
r568,FreenBecky,24,149,2022/12/22,25170,0
r569,EngLot,18,145,2022/12/22,37774,1
r570,EngLot,24,113,2023/1/1,49043,1
r571,JanJingjing,2,22,2022/12/29,3028,0
r572,NamneungNoey,1,1,2022/12/24,656,1
r573,EngLot,13,398,2022/12/23,155685,1
r574,NamneungNoey,5,17,2022/12/29,4658,0
r575,EngLot,8,41,2023/1/23,8145,0
r576,FreenBecky,14,133,2022/12/25,29540,0
r577,EngLot,8,12,2022/12/25,5519,0
